Amount,Broker_Status,Broker_Tier,Client_Risk_Rating,Credit_Score_2,Credit_Score_1,Current_Term_Months,Employment_Status_Borrower_2,Employment_Status,Global_Debt_Ratio,Interest_Rate,Loan_To_Value,Mortgage_Position,Mortgage_Purpose,Occupancy_Type,Property_Type,Self_Employed,Total_Debt_Service_Ratio,Approved
428022,Approved,Key Account,4,858,463,31,Pension,Salary,56.2,7.1,55,2,Equity Takeout,Rent To Own,Row,False,98.3,0.0
765490,Approved,Key Account,4,601,493,23,Other,Pension,9.6,6.79,41,3,Equity Takeout,Rental,Semi-detached,False,88.5,0.0
485838,Deactivated,Key Account,3,732,474,32,Self-employed,Self-employed,72.2,8.35,67,1,Refinance for Debt Consolidation,Owner,Apartment High Rise,True,82.2,1.0
939589,Approved,Non Key Account,4,715,777,42,Salary,Contract,25.9,8.28,26,1,Purchase,Rental,Row,False,47.9,0.0
965183,Approved,Non Key Account,3,829,880,24,Self-employed,Self-employed,47.7,6.07,45,1,Refinance for Debt Consolidation,Rental,Row,True,66.6,0.0
938930,Watch List,Key Account,3,696,416,4,Commissions,Contract,44.7,9.36,62,1,Refinance for Debt Consolidation,Owner,Apartment Low Rise,False,54.9,1.0
1444131,Approved,Key Account,3,504,460,26,Pension,Pension,83.4,9.39,41,2,Purchase,Rent To Own,Row,False,89.7,0.0
724493,Approved,Key Account,4,832,809,25,Pension,Commissions,7.2,8.77,27,3,Refinance,Rental,Single,False,14.5,0.0
309199,Deactivated,Non Key Account,2,405,865,14,Self-employed,Other,30.4,8.02,46,1,Refinance for Debt Consolidation,Rent To Own,Row,False,36.9,1.0
440333,Approved,Key Account,4,516,662,51,Contract,Self-employed,39.8,7.67,8,3,Refinance for Debt Consolidation,Owner,Apartment High Rise,True,94.6,0.0
786587,Approved,Key Account,3,833,505,17,Pension,Self-employed,69.1,9.15,42,2,Purchase,Owner,Apartment Low Rise,True,84.7,0.0
568348,Approved,Key Account,4,587,562,15,Commissions,Other,17.8,7.97,41,1,Refinance,Rent To Own,Row,False,38.0,0.0
1161856,Deactivated,Non Key Account,2,515,889,20,Hourly,Commissions,46.1,6.37,41,2,Purchase Rent to Own,Owner,Semi-detached,False,66.2,0.0
440915,Approved,Key Account,3,418,755,49,Contract,Other,96.7,4.81,62,2,Purchase Rent to Own,Rental,Row,False,98.2,0.0
